"","byhour","Freq"
"1297","1495670400",35
"1298","1495674000",20
"1299","1495677600",5
"1300","1495681200",9
"1301","1495684800",22
"1302","1495688400",114
"1303","1495692000",398
"1304","1495695600",855
"1305","1495699200",1018
"1306","1495702800",474
"1307","1495706400",342
"1308","1495710000",421
"1309","1495713600",492
"1310","1495717200",536
"1311","1495720800",585
"1312","1495724400",741
"1313","1495728000",1312
"1314","1495731600",1843
"1315","1495735200",1168
"1316","1495738800",778
"1317","1495742400",620
"1318","1495746000",451
"1319","1495749600",246
"1320","1495753200",145
"1321","1495756800",73
"1322","1495760400",42
"1323","1495764000",19
"1324","1495767600",17
"1325","1495771200",13
"1326","1495774800",100
"1327","1495778400",369
"1328","1495782000",871
"1329","1495785600",1135
"1330","1495789200",567
"1331","1495792800",486
"1332","1495796400",676
"1333","1495800000",746
"1334","1495803600",796
"1335","1495807200",954
"1336","1495810800",1007
"1337","1495814400",214
"1338","1495818000",155
"1339","1495821600",101
"1340","1495825200",82
"1341","1495828800",88
"1342","1495832400",115
"1343","1495836000",80
"1344","1495839600",96
"1345","1495843200",52
